X1,X2,Y
76,51,0
34,59,1
21,65,1
65,25,1
59,97,0
99,36,0
36,89,0
35,4,1
91,55,0
12,88,0
8,67,1
20,44,1
44,22,1
15,32,1
56,65,0
79,20,1
10,26,1
28,84,0
81,54,0
43,13,1
58,8,1
38,90,0
35,44,1
34,93,0
32,5,1
77,98,0
89,72,0
3,74,1
16,91,0
95,14,0
27,76,0
84,0,1
93,8,0
51,45,1
93,26,0
66,5,1
27,8,1
67,11,1
27,39,1
30,5,1
74,90,0
45,92,0
80,13,1
8,46,1
89,79,0
7,69,1
69,67,0
13,39,1
93,16,0
89,53,0
48,73,0
41,13,1
90,9,1
23,17,1
72,54,0
35,50,1
73,70,0
51,1,1
55,49,0
22,22,1
15,15,1
22,27,1
93,2,1
30,7,1
47,36,1
91,35,0
47,24,1
50,18,1
45,85,0
66,55,0
79,32,0
45,1,1
70,52,0
51,46,1
34,46,1
80,44,0
90,11,0
84,36,0
26,37,1
25,73,1
7,42,1
8,84,1
72,96,0
1,39,1
2,85,1
20,93,0
79,90,0
8,73,1
50,34,1
35,21,1
42,27,1
65,24,1
68,0,1
49,12,1
39,7,1
77,31,0
69,57,0
31,48,1
84,4,1
49,18,1
