X1,X2,Y
43,6,0
60,71,1
33,58,0
48,70,0
61,49,1
47,98,0
89,76,1
3,72,0
57,18,1
84,29,1
3,57,0
75,90,1
44,29,0
53,19,1
82,23,1
29,22,0
35,52,0
44,65,0
42,30,0
26,88,0
37,69,0
57,12,1
37,92,0
96,46,1
46,9,0
65,52,1
34,33,0
30,70,0
85,68,1
7,43,0
1,45,0
90,3,1
35,98,0
17,25,0
5,25,0
50,58,0
89,90,1
64,88,1
41,93,0
25,54,0
83,37,1
56,17,1
96,11,1
41,53,0
34,23,0
35,16,0
42,63,0
44,100,0
99,40,1
60,92,1
67,36,1
53,31,1
32,21,0
48,59,0
31,40,0
29,74,0
80,21,1
63,38,1
77,91,1
8,24,0
35,73,0
56,46,1
82,13,1
72,45,1
2,4,0
62,69,1
9,17,0
37,35,0
98,0,1
92,66,1
81,55,1
80,6,1
29,42,0
55,41,1
37,9,0
22,13,0
93,96,1
15,73,0
72,30,1
7,84,0
57,47,1
38,84,0
42,43,0
98,92,1
90,26,1
14,45,0
90,88,1
38,64,0
24,17,0
56,8,1
38,99,0
9,39,0
65,85,1
49,86,0
64,12,1
70,42,1
61,5,1
0,23,0
72,53,1
10,3,0
