X1,X2,Y
4,78,0
75,40,0
14,89,0
97,90,0
48,52,1
11,82,0
68,77,0
37,68,1
84,9,0
77,28,0
1,34,0
75,64,0
36,64,1
90,99,0
45,74,1
42,46,1
61,36,0
23,28,0
42,30,1
94,50,0
97,17,0
84,49,0
34,14,1
7,29,0
29,33,0
53,25,1
37,59,1
11,17,0
20,30,0
14,30,0
22,93,0
25,80,0
76,4,0
41,28,1
2,89,0
95,85,0
72,81,0
89,51,0
75,54,0
46,65,1
83,99,0
29,19,0
23,64,0
73,1,0
63,3,0
88,97,0
30,33,0
44,83,1
4,43,0
95,30,0
70,86,0
74,8,0
4,93,0
39,4,1
58,86,1
36,80,1
39,35,1
43,27,1
30,35,0
87,0,0
55,81,1
58,66,1
32,85,1
98,13,0
80,79,0
28,26,0
26,38,0
99,85,0
57,80,1
73,69,0
10,72,0
49,49,1
12,55,0
24,78,0
2,57,0
2,19,0
61,95,0
82,39,0
15,82,0
5,97,0
92,68,0
3,88,0
15,65,0
75,58,0
56,50,1
2,61,0
61,88,0
21,24,0
21,91,0
2,65,0
54,28,1
66,50,0
66,94,0
3,84,0
73,40,0
61,14,0
4,19,0
79,11,0
85,14,0
55,62,1
