X1,X2,Y
14,47,1
81,29,0
93,94,0
0,61,1
76,17,0
92,41,0
16,80,1
91,52,0
37,71,1
49,21,1
96,13,0
43,35,1
98,0,0
2,98,1
98,96,0
17,83,1
62,33,0
52,99,0
34,75,1
74,50,0
44,60,1
57,8,0
57,8,0
51,55,0
74,62,0
14,98,1
55,44,0
81,54,0
17,64,1
90,49,0
25,71,1
91,6,0
95,28,0
14,100,1
30,75,1
92,15,0
7,76,1
81,95,0
98,35,0
94,40,0
0,91,1
9,65,1
5,77,1
89,85,0
29,28,1
49,90,1
60,65,0
4,17,1
47,64,1
87,75,0
8,33,1
100,79,0
22,8,1
19,52,1
87,15,0
88,92,0
55,65,0
50,38,0
21,9,1
68,33,0
97,39,0
8,18,1
51,11,0
23,84,1
48,57,1
79,83,0
5,30,1
99,13,0
7,61,1
71,21,0
40,54,1
55,54,0
35,79,1
16,33,1
50,30,0
43,89,1
93,52,0
86,67,0
65,20,0
72,26,0
94,41,0
85,39,0
79,6,0
83,88,0
99,41,0
65,26,0
94,56,0
85,74,0
88,32,0
23,20,1
25,18,1
93,6,0
97,3,0
39,89,1
74,56,0
24,64,1
18,47,1
99,35,0
86,22,0
28,34,1
